jmjeon18
nlcsjeju
watched pot never boils
6
10
========1trial========
KeyChar,keyCode,timePressed,timeReleased
l,76,1495168261024,1495168261102
s,83,1495168261159,1495168261226
========9trial========
KeyChar,keyCode,timePressed,timeReleased
w,87,1495168278203,1495168278292
a,65,1495168278383,1495168278495
t,84,1495168278551,1495168278607
c,67,1495168278788,1495168278877
h,72,1495168278889,1495168278956
e,69,1495168278979,1495168279046
d,68,1495168279159,1495168279260
 ,32,1495168279226,1495168279327
p,80,1495168279429,1495168279507
o,79,1495168279598,1495168279687
t,84,1495168279789,1495168279879
 ,32,1495168279913,1495168280014
n,78,1495168280284,1495168280373
e,69,1495168280430,1495168280486
v,86,1495168280576,1495168280644
e,69,1495168280734,1495168280857
r,82,1495168280813,1495168280914
 ,32,1495168280880,1495168280981
b,66,1495168281071,1495168281127
o,79,1495168281150,1495168281229
i,73,1495168281274,1495168281398
l,76,1495168281409,1495168281499
s,83,1495168281578,1495168281679
========10trial========
KeyChar,keyCode,timePressed,timeReleased
w,87,1495168282388,1495168282466
a,65,1495168282568,1495168282657
t,84,1495168282725,1495168282781
c,67,1495168282950,1495168283017
h,72,1495168283051,1495168283119
e,69,1495168283130,1495168283186
d,68,1495168283299,1495168283401
 ,32,1495168283377,1495168283479
p,80,1495168283569,1495168283647
o,79,1495168283704,1495168283794
t,84,1495168283895,1495168283985
 ,32,1495168284008,1495168284109
n,78,1495168284289,1495168284378
e,69,1495168284469,1495168284536
v,86,1495168284638,1495168284705
e,69,1495168284784,1495168284908
r,82,1495168284897,1495168284986
 ,32,1495168284964,1495168285054
b,66,1495168285144,1495168285200
o,79,1495168285234,1495168285301
i,73,1495168285380,1495168285493
l,76,1495168285481,1495168285560
s,83,1495168285628,1495168285718
